Time,Transaction_Amount_Ratio,Transaction_Frequency,Merchant_Risk_Score,Customer_Risk_Score,Account_Age_Months,Device_Trust_Score,Location_Risk_Score,Transaction_Velocity,Cardholder_Behavior_Score,Fraud_Risk_Index,Amount,Class
119858,-3.765,-3.135,2.622,2.797,-4.025,-0.928,0.997,2.385,-4.362,-1.803,3436.08,0
44589,3.888,-3.68,-0.775,3.154,-1.261,-2.41,-4.232,4.952,-4.185,3.346,971.72,0
167759,0.514,0.924,4.583,3.898,-4.827,0.903,-4.812,3.164,-0.535,4.508,1207.46,0
59862,-4.091,4.234,3.596,0.965,-2.97,-1.263,-4.784,-1.407,0.422,4.053,15.9,0
96090,3.063,0.395,-2.419,2.545,0.433,-1.343,-3.818,3.706,2.231,2.56,3609.22,0
35812,1.951,error,-3.084,-4.24,-0.389,-0.179,3.814,-3.878,-4.343,-4.248,4190.31,0
11404,-3.428,3.416,4.936,-0.205,2.218,-1.022,-1.562,4.457,-1.258,2.167,3735.94,0
63704,2.865,0.807,4.562,-3.552,-3.918,-0.537,1.265,0.989,1.4,-3.991,1062.98,0
110457,4.713,2.225,4.257,-0.061,1.997,-0.175,-3.84,-1.74,-0.499,0.985,2574.06,0
84233,,-0.699,-1.9,-0.072,-3.667,-1.984,-2.888,4.084,-4.727,2.23,1807.66,0
133728,-4.696,1.582,4.089,-3.851,-1.38,-2.656,-0.685,-0.183,4.164,-3.042,2157.06,0
76385,4.323,-4.204,3.207,-2.38,3.473,1.634,2.715,-3.683,-1.395,-4.243,2434.02,0
116851,-4.114,-3.233,4.275,3.889,3.494,-1.983,2.689,2.472,-3.188,-4.695,2959.92,0
109707,-3.323,-4.877,4.244,-0.611,-4.575,-1.264,4.552,3.669,-2.379,-4.142,4934.83,0
60504,-4.417,-0.793,-0.849,0.023,3.963,0.488,-1.633,-3.488,3.269,1.745,4898.46,0
169361,-2.726,0.994,2.925,1.555,2.779,2.073,-2.052,-3.254,-2.508,-4.124,3095.34,0
104345,-3.632,1.536,-1.063,1.182,-4.074,3.541,-3.817,0.353,3.518,-4.769,92.67,0
113399,2.569,-2.144,-0.331,-0.648,-0.405,-2.871,-4.16,-2.263,4.465,-4.084,4299.63,0
148941,-0.356,-2.891,-1.149,-3.578,1.158,4.666,-1.647,-3.856,-3.556,0.125,3326.68,0
63930,1.457,4.571,0.702,3.51,2.804,2.211,3.179,-0.057,1.184,3.641,4334.96,0
38766,2.533,2.316,-3.798,2.317,2.46,-1.074,1.716,2.346,3.623,2.336,2769.63,0
40300,1.238,1.066,0.737,-1.741,1.462,-3.547,-0.654,2.997,-1.832,-3.446,3753.43,0
53109,3.5,1.867,4.249,0.16,-3.734,0.291,1.337,1.743,1.307,3.045,3627.68,0
152207,-0.835,-0.729,2.812,-2.284,-3.167,3.91,0.098,2.31,0.737,3.05,4841.02,0
26210,4.754,0.023,2.386,-4.439,-0.214,1.347,4.519,-1.432,4.801,-3.289,536.07,0
75000,1.721,4.601,-1.63,-2.605,3.033,-4.497,4.196,-2.697,-1.109,4.778,3896.04,0
61189,4.353,-1.756,2.148,-0.819,-0.734,-4.858,-4.723,-4.695,-2.338,3.03,609.85,0
11688,2.793,3.461,2.011,-0.452,-0.574,0.628,-2.916,-1.434,3.525,0.595,205.52,0
93396,4.649,2.749,3.38,-3.967,4.131,-0.875,2.86,-4.344,-3.879,-1.229,1547.47,0
1146,4.941,-1.703,0.944,-1.312,1.238,-0.323,4.366,-2.932,-2.588,-4.118,1828.33,0
16296,-0.066,1.507,4.434,3.687,1.519,-2.944,-1.835,-3.308,-1.901,2.373,2375.62,0
108107,-3.243,-1.272,-0.768,2.491,4.536,-2.092,0.248,-3.338,0.18,4.814,4319.77,0
170111,-3.825,1.792,1.308,4.903,-3.748,-2.878,1.511,-3.846,-0.308,-1.31,1489.11,0
120265,-2.128,-2.949,3.493,4.966,-1.988,2.564,-4.057,2.556,-0.77,-2.719,3277.4,0
140328,-1.218,4.225,-4.384,-2.947,-1.717,-1.683,3.439,2.307,3.81,4.562,4765.4,0
19026,-1.99,0.005,1.401,2.717,4.745,-1.148,3.282,-2.982,4.392,2.88,1296.79,1
149971,4.936,2.842,1.277,0.324,-4.8,-2.162,1.035,-0.58,1.819,3.238,3542.7,0
112731,2.406,-0.608,-2.331,4.733,-4.776,-1.102,2.86,1.843,-4.634,1.4,3949.27,0
169604,-1.478,-0.882,-0.413,-4.192,4.648,4.733,3.554,-2.187,-1.858,2.843,2502.29,0
9542,-0.723,4.181,4.086,-1.751,0.661,1.629,-0.862,-3.272,-2.605,-2.571,3243.28,0
96814,-4.946,-3.693,-0.015,4.544,0.834,3.452,-2.516,3.498,3.286,0.534,1196.64,0
77714,,-3.49,-3.379,-2.928,-1.42,1.334,-0.226,-0.869,-3.391,3.885,2539.32,0
169186,-3.475,-4.801,2.064,-0.334,-1.359,-4.896,3.217,3.387,-0.68,-3.009,4320.15,0
116101,4.799,2.067,3.844,0.977,2.022,1.053,-3.785,-0.647,-3.676,-4.229,4508.7,0
38034,0.051,-1.499,4.386,-4.491,-4.91,-3.608,-3.913,4.317,-0.266,-4.741,4954,0
13000,-2.834,2.274,2.04,-1.529,3.995,1.893,-3.714,-0.066,0.452,-4.42,681.12,0
71977,3.23,-1.918,1.859,-0.044,-0.663,4.658,0.435,0.901,1.621,-4.178,3644.01,0
46257,3.367,-3.152,-1.278,-1.592,0.274,-0.063,-3.419,-2.63,1.381,3.699,4105.07,0
41323,,4.727,-3.337,0.731,-2.96,-2.839,2.889,2.523,4.727,-1.75,3435.87,0
1670,2.199,-4.357,1.631,3.616,1.03,-3.904,3.529,-4.267,1.139,3.175,3852.96,0
7015,3.019,-2.113,-4.477,-3.774,-3.742,-4.125,-2.106,0.196,-3.613,-4.351,2688.4,0
95313,-3.512,-4.167,2.552,4.541,1.826,-2.818,-2.093,4.183,-3.437,-4.064,3440.99,0
93315,-0.822,-2.752,3.209,-0.847,0.798,-1.444,-0.36,4.166,-3.831,-4.97,2257.76,0
97642,-2.04,2.144,-1.241,3.963,-2.015,-3.72,0.555,-0.873,3.488,2.528,3729.25,0
73654,1.291,1.907,1.414,-3.408,1.181,-4.532,0.228,1.598,-1.787,-2.512,212.74,0
69039,2.346,1.439,3.692,-1.123,-0.496,0.017,-1.407,-2.828,2.715,4.086,3461.05,0
32262,1.11,1.827,3.897,-1.42,-1.518,-3.333,-0.396,-4.058,2.193,-1.718,4739.41,0
120461,0.216,-3.285,1.654,-0.404,-4.796,4.362,-2.272,0.179,3.315,-0.296,558.75,0
71847,,3.154,2.279,4.079,-4.15,0.589,0.412,4.377,-0.282,4.699,1290.89,0
73757,-1.556,-3.457,-2.877,-0.595,-4.657,4.045,-1.804,0.913,-0.214,-0.444,1298.83,0
167700,2.055,-4.589,-1.154,2.656,0.183,-3.802,-4.934,-3.154,-0.074,-2.123,3419.75,0
62495,0.746,0.853,-1.942,-4.813,2.994,4.501,1.441,1.528,1.126,-4.713,949.46,0
115129,-2.803,3.862,1.265,2.431,3.644,0.526,3.129,0.761,0.973,-1.145,960.69,0
100173,-2.937,-4.75,1.419,1.163,3.452,1.256,2.01,-1.755,0.08,-2.94,3351.45,0
36369,1.173,-0.401,-2.467,-2.131,4.906,3.308,-2.035,1.9,0.602,2.717,1642.61,0
145834,-0.089,-3.203,2.573,4.636,0.873,-0.716,3.65,3.11,4.029,3.409,4883.38,0
137830,-3.809,2.911,1.671,2.384,-1.08,1.298,2.65,2.481,4.786,-0.411,661.05,0
138074,-0.069,-1.611,-0.61,-2.372,-2.371,1.135,-0.264,2.724,-0.037,3.35,162.5,0
97591,3.894,3.861,-2.369,1.836,-4.982,-1.965,-2.19,0.713,-3.083,-4.527,2890.76,0
105320,3.788,3.07,-3.864,0.161,4.356,3.655,-0.493,-1.761,3.457,1.474,2111.61,0
17975,,0.583,3.956,-0.723,-0.461,3.893,1.523,4.684,-3.262,-1.944,841.53,0
163954,-2.711,4.035,1.12,-3.632,-3.087,-4.344,3.701,1.533,-4.867,4.303,4386.28,0
901,-3.386,1.138,-2.649,-0.366,4.173,-1.055,2.27,-2.673,-4.231,1.529,765.5,0
155246,4.848,0.461,3.871,4.355,-0.361,-1.323,2.492,3.934,4.257,1.558,250.15,0
7450,-4.479,-1.562,-1.239,-3.363,2.18,2.705,3.28,-0.432,0.095,3.231,4242.25,0
136128,-1.867,-1.968,2.253,0.404,-4.133,-0.892,-4.048,4.871,3.796,-0.857,4877.65,1
67621,-3.873,4.16,-1.107,4.264,4.426,0.927,1.823,-3.627,-1.101,-2.944,4576.94,0
57247,2.579,3.088,-3.937,1.357,2.124,3.159,-1.388,-3.267,0.983,-4.357,26.95,0
82351,0.325,3.088,-1.18,3.682,0.483,-0.419,3.009,0.296,3.749,-1.03,3323.84,0
37633,-4.9,-4.249,-1.25,4.782,-4.798,0.11,-0.85,-2.35,4.144,1.494,3919.36,0
109914,-1.797,4.027,-3.418,1.688,-1.387,4.366,-1.125,-1.602,1.234,4.956,2943.61,0
109115,0.687,-4.565,0.095,2.322,4.194,-1.048,4.646,-0.589,1.465,-2.288,1513.57,0
86053,0.602,-1.423,0.492,2.161,-3.554,-3.617,-2.161,-2.536,0.799,-3.54,1970.2,0
147622,4.331,2.919,-0.12,2.274,2.005,-2.834,-4.798,-1.549,-4.831,0.602,492.88,0
1392,-2.417,3.479,-4.818,-2.907,-2.923,4.934,-3.658,4.952,-0.362,-4.237,1426.37,0
115976,2.876,3.1,-0.966,3.031,-0.027,1.382,-1.181,0.548,2.508,-0.433,403.35,0
110765,-4.116,-0.216,2.787,2.319,-2.112,-3.867,2.199,-3.114,-2.99,0.569,2986.32,0
13636,-1.843,-2.609,4.811,4.314,3.822,3.724,-3.82,3.061,-4.041,-3.921,3548.14,0
135869,4.785,-4.146,-1.641,1.536,-4.305,-3.865,2.459,-1.336,2.842,2.797,3477.88,0
115509,3.755,error,-1.02,0.188,-4.013,2.149,0.726,-4.24,2.044,-0.727,2220.31,0
104148,-1.97,-3.124,-0.427,-1.353,0.15,-4.434,-0.311,-1.39,-4.329,-1.163,1264.99,0
3623,-3.403,2.785,2.958,0.523,-2.596,2.939,3.599,1.559,-4.033,2.24,2585.32,0
23521,-2.16,-0.555,3.316,-4.887,0.307,-2.657,-3.037,-2.677,1.79,1.357,4802.29,0
40269,-0.008,-1.429,0.93,-4.136,2.178,0.363,4.726,-1.843,-0.521,-3.582,4240.02,0
124462,-4.747,-2.379,3.267,-4.644,3.107,-1.533,1.986,0.963,-1.817,4.166,4977.44,0
6605,-1.522,-1.638,-2.852,-1.831,4.715,2.579,2.165,2.043,3.754,-2.198,3717.16,0
138882,-3.169,4.789,0.464,2.918,-1.218,-2.26,-2.24,1.865,2.133,1.991,1455.07,0
7401,-1.822,1.773,1.941,1.109,0.897,1.149,-3.719,-1.894,-4.466,-3.056,3294.58,0
2233,4.984,-2.59,-4.606,-4.011,-3.27,-1.972,1.895,0.109,4.862,3.446,?,0
61848,-1.36,-2.185,-3.903,-1.166,-3.204,4.133,-2.1,1.523,2.055,3.928,1712.36,0
130814,-1.766,-0.895,0.241,0.572,2.279,-2.218,-4.245,1.416,4.788,4.816,1526.05,0
40881,2.315,2.583,0.524,1.387,4.982,2.845,-3.35,0.932,3.265,2.38,804.54,0
15355,-4.176,-4.783,0.322,-4.289,3.191,0.019,-3.277,2.443,-4.769,0.734,4533.57,0
30234,-0.393,4.764,2.512,-2.312,1.714,0.296,-2.578,2.379,-1.318,-3.286,3824.71,0
46260,1.04,2.634,1.002,1.868,2.992,0.022,1.494,1.147,0.417,-1.343,1669.74,0
91064,-0.849,-3.19,0.79,-0.737,4.75,-1.403,-0.686,3.073,-3.321,2.914,3977.61,0
12599,0.638,-4.626,1.481,2.429,-0.103,-2.042,-1.562,2.184,2.048,2.151,429.87,0
42876,2.453,-3.941,-0.967,2.175,-0.954,3.51,-3.822,1.219,-2.126,3.28,980.97,0
29137,2.767,3.78,-2.183,-3.647,-1.158,-3.115,1.134,3.854,4.288,3.185,4772.31,0
88315,-4.512,4.588,1.086,-4.867,2.578,2.433,2.043,-0.862,3.74,0.683,2749.41,0
82906,4.923,3.536,0.118,0.343,2.525,-1.173,-3.345,3.8,-0.263,0.745,1791.59,0
49302,-4.75,-1.455,3.139,-2.691,0.651,2.735,1.587,-3.219,-2.589,-2.883,3440.5,0
11457,2.722,-3.061,-3.376,3.568,0.808,0.817,-2.478,2.702,4.816,0.716,864.51,0
65712,-4.241,-4.895,-2.565,1.401,1.058,4.293,1.726,0.546,-3.659,2.272,4211.29,0
24424,0.637,-0.35,4.507,-0.544,-3.509,4.407,4.825,3.964,-4.336,0.052,3633.2,0
150213,4.943,0.656,-0.236,-4.526,-2.474,1.31,-1.419,2.215,-1.755,3.474,3792.42,0
70111,3.492,3.894,-1.049,-3.271,4.089,-1.733,-0.442,4.031,-0.292,-3.288,666.4,0
39069,3.717,1.015,-4.074,-0.817,-0.001,2.876,0.757,2.4,-2.671,-2.273,4099.72,0
59168,1.2,2.786,1.484,1.07,-3.343,4.224,-2.688,3.476,1.872,-4.765,2828.67,0
86715,3.911,2.819,-1.762,-4.108,0.386,3.835,2.654,3.898,-0.702,0.315,4368.91,0
52949,0.723,-3.98,-2.258,-2.232,0.416,-2.582,-2.226,-0.157,-2.107,-4.482,178.19,0
77285,2.502,-4.755,-1.446,-1.992,3.825,-0.481,1.327,-3.512,-0.125,4.504,4017.43,0
123295,4.119,2.506,-3.128,4.192,-4.046,-1.422,-3.97,4.088,-0.672,1.993,538.53,0
120715,-0.781,-3.41,2.894,-0.158,3.577,-2.634,4.248,-3.05,-0.868,-4.073,3984.86,0
128930,-3.84,-3.996,2.089,-4.118,4.631,-3.628,-3.295,1.175,0.556,3.321,577.77,0
109454,-1.638,2.012,-2.353,4.374,3.247,3.778,4.008,0.03,2.343,1.481,462.04,0
15043,2.805,4.798,-0.409,4.548,-0.281,3.335,4.952,-0.381,0.835,-1.709,4553.21,0
20484,-4.708,4.588,-3.091,2.236,-0.391,-3.12,-0.415,-1.816,0.189,-3.075,706.93,0
114231,0.543,error,2.398,3.165,-3.038,1.666,-0.641,-3.544,1.024,4.125,2894.13,0
34658,0.541,-1.602,-2.797,3.263,2.482,-0.04,4.766,4.173,2.15,-3.657,886.92,0
125126,1.374,0.75,-2.031,4.735,-3.78,-3.793,0.877,4.823,3.449,3.143,4287.45,0
139719,2.587,-4.586,-3.012,4.515,3.691,4.824,-1.32,-2.245,-2.388,-4.454,3928.94,0
107451,2.661,1.349,-4.487,2.092,4.718,3.945,3.295,-0.405,4.696,-2.216,870.43,0
47638,2.373,0.254,-0.292,-3.28,3.468,-2.523,-4.867,-2.984,1.732,-3.022,4726.58,0
43947,3.644,-3.042,3.319,-0.4,-0.342,-3.121,2.82,-4.78,1.479,3.686,1001.36,0
58838,-0.862,-3.307,2.103,-3.898,4.609,-3.85,1.22,4.605,4.503,-3.293,1626.21,0
54835,3.94,-0.722,2.687,-2.234,2.212,4.2,-3.011,-2.215,1.629,2.66,2992.54,0
144055,-1.167,2.335,-0.236,-2.525,0.317,-1.989,2.981,1.674,-1.131,2.501,4892.81,0
75245,-2.258,-4.664,0.235,-0.312,4.717,4.942,2.516,-1.596,2.532,-0.598,4321.22,1
55543,-1.479,-1.871,-3.977,-1.774,-4.625,4.644,-3.203,2.595,-1.426,1.813,1395.91,0
145697,-3.526,-3.482,-4.455,1.888,-0.291,4.974,-0.196,4.235,0.22,0.214,1060.65,0
34247,3.111,-2.232,4.879,1.656,1.45,-3.438,3.827,4.281,-4.037,-1.558,3862.33,0
90902,3.667,-1.395,-2.832,0.397,3.51,4.2,-2.574,-4.962,1.349,4.102,222.97,0
31618,-4.572,-4.999,3.282,0.14,-0.226,2.864,0.299,3.955,-0.808,-2.409,100.41,0
47898,4.65,4.401,2.467,4.015,0.603,-1.685,-0.623,-4.584,-4.252,3.932,1906.73,0
91627,-4.884,-1.101,-2.373,-2.461,-0.992,-3.976,-3.859,-3.488,3,4.621,2263.3,0
125369,4.913,-1.336,3.228,3.211,-4.147,2.133,0.748,-1.211,-2.597,1.594,4459.34,0
151447,-0.172,3.279,4.896,-4.258,4.781,2.848,-2.96,-3.143,2.067,3.297,2371.1,0
125345,0.381,-1.427,2.107,0.92,-1.776,-4.256,0.875,-4.109,3.496,-4.743,1918.87,0
161786,-1.743,-1.852,0.971,1.641,4.882,3.327,4.273,-2.307,-2.626,0.291,2859.43,0
28008,1.22,-3.175,-2.971,-4.859,-1.141,-3.599,-4.209,-0.215,1.824,2.318,4434.73,0
28669,-2.37,3.889,-1.953,2.778,-0.588,3.272,4.395,-0.355,-1.465,-1.568,2734.05,0
32269,0.702,2.075,4.288,1.11,1.627,-2.993,1.43,0.437,4.562,4.635,1016.05,0
171410,-4.199,-0.615,2.01,-2.789,-2.831,-4.117,-1.541,-4.538,0.509,-1.053,3352.67,0
1561,-4.878,-1.783,-2.344,1.732,-2.966,-1.353,0.402,-2.372,-3.115,-4.249,4471.02,0
122098,-3.915,3.625,-0.28,4.192,1.875,1.26,3.866,0.998,-1.655,-1.897,3656.2,0
107324,-2.186,4.631,4.295,3.313,1.542,4.515,-2.114,3.74,0.457,-3.992,4642.31,0
45982,-0.806,3.636,-1.026,2.762,0.448,-3.398,-1.393,-4.447,-0.903,2.994,4529.65,0
30480,4.519,0.366,2.682,-3.365,-4.053,4.095,-1.785,-3.088,-4.074,-1.481,3597.07,0
116897,-0.159,3.259,-2.325,1.978,4.703,-1.233,-3.158,-2.915,1.501,-2.428,1152.92,0
32442,4.206,-0.046,-1.73,0.039,-3.364,2.22,-1.145,3.214,1.129,3.047,4769.14,0
40968,-4.648,4.715,1.976,-0.636,3.963,3.794,2.916,1.971,-0.623,-4.782,783.84,0
130416,3.96,-0.558,-1.742,1.193,1.628,-1.206,-0.597,-3.922,1.099,1.067,3620.75,0
123783,-2.514,-2.456,1.961,-4.945,-3.934,-1.192,-0.575,2.414,3.516,-1.127,3118.35,0
82830,-0.185,-4.076,4.141,1.268,0.05,3.99,-4.995,4.649,-1.725,1.572,943.83,0
32113,1.932,3.941,-0.003,-2.253,-3.834,-1.016,1.298,-1.074,-2.769,-4.224,2723.71,0
130108,3.662,3.425,-2.99,-4.273,-0.615,-2.767,4.472,2.39,0.854,0.035,4250.09,0
89733,1.791,-1.198,2.506,2.152,0.177,-0.357,-0.969,-3.744,-1.082,-0.002,80.46,0
136976,0.744,1.644,1.189,-4.391,-1.643,-0.575,0.926,-4.775,-0.512,-1.986,1031.02,0
125494,-2.626,2.55,-1.67,1.574,-1.609,2.281,1.515,4.895,4.779,-4.874,1508.32,0
8280,0.641,-1.593,3.625,3.921,0.906,-3.118,-0.408,0.271,-4.808,-3.009,180.99,0
54283,-2.596,-3.073,-3.477,-2.142,2.989,-4.735,-0.285,3.843,3.866,0.493,4582.91,0
20273,0.229,3.882,-1.992,2.389,3.624,2.209,-0.606,-1.516,1.333,0.429,1143.28,0
108780,2.127,4.054,-0.956,4.741,-1.951,2.011,1.175,-0.335,0.653,-0.961,3067.14,0
68602,-2.193,-0.329,2.432,1.93,-1.297,3.785,4.921,-3.337,4.063,0.97,1294,0
134703,-2.52,2.11,0.126,4.765,3.272,-0.602,-2.107,1.149,-1.588,0.445,2331.14,0
16897,4.052,-4.395,-1.255,-1.972,-4.891,1.77,-4.346,1.563,1.234,1.357,3381.19,0
24819,0.523,3.02,4.837,0.909,4.529,3.161,-3.422,0.6,-3.617,-2.404,294.91,0
42880,-1.575,0.874,-3.596,-4.824,0.985,-4.152,-3.52,2.87,1.303,-2.063,619.14,0
45919,-3.14,-4.449,-2.628,1.123,-0.411,0.464,-0.746,-3.202,-1.284,-4.158,?,0
31232,,-4.686,4.303,1.569,-2.583,2.281,3.627,-4.243,-3.461,-3.38,2212.16,0
163501,-3.108,4.841,1.938,3.748,1.411,4.601,-0.223,2.449,-2.048,3.016,3152.24,0
115910,1.109,0.124,-3.798,-2.706,-0.185,-2.225,-4.287,1.451,2.057,1.682,1223.57,0
23660,,4.18,-0.386,3.921,-3.495,-4.75,0.354,-4.474,-0.195,1.452,3899.78,0
24969,0.706,3.799,0.535,-1.607,0.678,2.316,-2.822,3.664,1.065,4.273,2984.58,0
57900,1.462,2.022,1.307,-3.028,-3.974,3.116,-4.129,1.712,-4.363,-2.878,3397.97,0
61367,-0.441,4.392,4.624,3.452,-2.164,-1.954,-1.25,-3.214,4.85,-0.96,2815.61,0
7463,-3.164,3.027,0.625,-4.319,1.62,-0.078,-4.613,2.706,2.451,-0.25,3822.94,0
56754,1.432,-0.923,2.937,3.608,-1.804,-1.236,-2.744,3.502,-0.412,-0.327,718.24,0
133375,-0.056,-3.56,4.038,4.82,-0.437,4.258,-2.822,-2.282,-4.056,1.388,2060.32,0
103775,4.752,-2.294,2.223,2.137,-3.252,4.052,3.936,-1.29,0.274,2.211,3896.88,0
53637,-2.626,-4.016,3.301,-0.302,1.787,-4.53,-3.884,0.4,0.259,0.718,2185.56,0
28244,-2.669,0.446,-0.19,-4.054,3.75,-4.565,-3.99,2.518,3.11,1.552,317.46,0
68095,-1.048,error,3.011,3.607,-2.79,3.448,-4.494,2.363,1.3,2.64,3920.21,0
125600,4.212,-4.498,-0.416,-4.961,-2.968,3.923,0.158,-4.466,2.108,1.403,1817.34,0
148825,-3.167,-3.663,-1.097,-0.713,-1.193,0.226,3.593,-4.045,2.562,-0.244,1148.68,0
120228,4.708,-1.29,2.096,2.902,-2.641,4.615,0.427,-1.894,1.108,-1.588,3074.29,0
5002,3.51,-3.064,-2.114,-0.818,-2.606,0.376,-2.09,-2.437,-3.911,2.764,1308.38,0
122225,1.702,4.744,4.459,0.141,-4.237,-1.576,-3.578,-0.767,4.686,0.147,767.76,0
85857,,-3.346,4.067,2.375,-2.86,-0.32,2.994,2.712,1.619,-3.419,1146.34,0
132670,-3.307,2.772,1.677,4.04,-0.401,-1.674,1.722,2.962,4.581,-1.171,1105.04,0
150456,,0.622,0.26,-0.673,4.104,-3.221,-0.265,-1.092,-2.28,4.096,1947.54,0
112730,2.128,4.612,-0.946,-1.226,-4.007,3.589,-1.421,3.9,-0.641,0.42,3654.42,0
4101,1.535,3.126,1.211,0.176,-3.778,-4.669,-1.378,2.71,-0.343,1.676,3842.55,0
72282,3.112,4.228,-0.802,1.211,-4.924,0.238,-4.581,-0.363,3.312,-4.825,4163.49,0
11628,-1.438,-1.391,-4.064,0.075,-3.451,0.208,0.3,-1.619,-1.333,-2.018,234.78,0
20747,0.111,1.368,-1.639,-4.817,0.371,4.426,-0.822,3.912,-3.745,-3.378,3997,0
155823,3.113,-2.387,0.516,-1.536,-1.632,-1.609,4.766,3.607,2.865,2.855,1263.94,0
155172,-3.727,1.389,2.716,-4.047,3.349,0.973,1.717,4.887,-4.338,1.871,2415.33,0
40680,2.828,-2.297,3.696,-4.972,0.497,3.776,3.17,-2.89,-1.769,-1.192,1416.22,0
98727,2.292,1.306,-2.633,-3.588,-2.384,-4.934,1.98,-2.7,4.856,-3.288,4374.3,0
34677,-3.298,3.218,-4.567,-4.006,3.338,3.249,-4.891,-3.59,-3.199,-1.099,4065.15,0
115180,3.958,-0.456,-4.343,-1.092,-1.599,4.579,1.735,-4.792,3.984,4.256,2804.81,0
163864,0.001,-2.605,-2.279,2.655,-1.104,1.585,3.909,-1.647,-1.513,2.539,407.14,0
108782,-0.79,3.066,0.347,2.133,-3.486,-1.952,0.641,-0.554,3.866,-4.211,3298.8,0
53945,0.571,-2.023,-2.237,0.906,4.77,-3.009,-4.217,1.665,4.554,4.108,4135.1,0
48843,-4.026,4.73,-3.903,-4.847,4.897,-1.651,-2.553,-2.342,2.123,-2.624,1954.82,0
166907,0.111,4.694,-0.752,-4.456,-1.27,3.532,-2.223,-3.815,-3.822,-2.474,4684.02,0
10808,-2.752,-4.458,-0.26,-4.907,-4.666,-2.53,2.875,3.497,1.574,-1.394,783.74,0
78661,-3,-2.69,0.952,-0.191,1.121,-4.883,-3.907,-3.176,-4.378,3.522,776.38,0
107353,0.509,-1.768,-0.584,-3.338,4.722,0.208,1.346,-1.492,3.589,1.345,1279.85,0
39037,-0.4,0.821,-0.242,-4.465,1.387,3.655,1.018,-2.185,1.233,2.529,3039.01,0
83195,-3.861,-1.238,-4.156,2.873,4.487,-3.417,-3.014,0.371,1.535,-3.771,4227.13,0
38257,0.288,-3.751,4.63,2.089,-1.117,-1.822,-2.899,1.11,-2.159,0.107,2936.45,0
83702,-4.07,3.132,-4.409,0.855,-3.174,-4.741,-3.162,-4.779,-3.351,-3.675,3713.14,0
66290,2.052,-0.256,-1.652,-3.748,-3.618,1.992,1.948,-2.219,-4.673,-2.052,4071.73,0
32942,-3.348,0.825,-1.507,4.419,-2.89,3.411,3.32,-1.328,-0.391,2.25,4035.34,0
9469,3.82,-4.844,2.737,2.377,4.739,-3.763,4.073,-1.563,-0.397,2.709,3079.3,0
47176,,-2.441,3.717,-2.583,4.392,1.584,2.215,0.933,3.696,-1.87,4847.72,1
98901,4.655,-0.698,2.104,1.119,-1.854,-4.121,2.991,-1.583,-2.452,-4.173,751.15,0
121981,-4.052,-1.355,4.723,3.752,1.331,-2.954,-0.869,-4.985,-1.434,3.962,2348.36,0
124191,3.908,4.349,2.924,2.265,-2.926,-2.514,3.152,-0.912,-3.492,-0.384,864.64,0
79486,-0.598,0.442,2.674,4.393,-4.902,4.064,-3.842,1.516,1.837,1.643,2963.96,0
145943,0.128,-0.693,0.388,-4.569,-2.773,2.342,-4.205,-3.882,3.666,4.01,72.48,0
148356,3.409,-2.045,-0.854,-4.74,-0.86,0.938,-0.459,-2.994,-4.334,4.228,3870.63,0
148438,,0.467,1.57,4.774,-2.76,0.667,-3.811,3.059,2.883,-0.683,2270.24,0
115062,0.676,-1.965,4.772,-2.548,3.104,1.777,1.306,-2.392,1.29,-1.294,2411,0
2333,,-1.367,-4.037,-1.834,-3.048,2.012,0.366,-2.845,-1.654,-4.273,976.24,0
166581,-4.546,-4.034,0.862,-4.81,-2.995,3.176,3.686,-0.6,3.399,-3.729,2176.14,0
115649,2.961,1.683,-0.936,1.048,-1.278,2.529,-4.456,-0.707,2.824,4.02,852.96,0
136327,2.432,-4.908,-4.806,3.14,-0.147,-0.286,-2.29,4.719,3.547,-4.15,3942.95,0
92897,,4.514,2.116,-1.843,0.799,-2.273,0.569,-2.606,-1.219,4.156,3700.18,0
18328,-1.61,-4.758,-3.235,-2.601,2.176,-0.962,-1.939,-2.107,1.191,0.845,3648.35,1
104264,4.742,-3.583,3.075,0.737,4.72,-1.136,2.221,0.506,-1.398,-1.992,2243.33,0
130319,-1.912,-0.109,2.147,0.164,-4.68,-4.204,0.671,0.217,1.935,2.869,4014.97,0
87571,3.984,-0.742,0.478,-2.848,-1.017,-1.073,1.4,-4.814,2.667,1.902,4395.9,0
19752,-2.232,1.958,4.986,-2.606,-4.322,0.094,-0.441,0.589,0.231,-2.736,4925.43,0
100614,-4.568,1.637,-1.719,-0.741,-3.668,4.558,-2.022,-1.428,-4.697,-0.439,975.75,0
167168,-4.663,-1.151,2.246,-1.995,4.727,-4.791,0.99,4.432,-1.003,-1.277,2007.96,0
8460,-2.086,1.876,-1.234,-4.173,-4.718,4.43,-2.328,-0.853,-0.137,0.034,1364.45,0
114112,-1.53,-2.609,-1.571,-1.668,4.659,-2.917,1.737,-3.306,0.428,-2.614,4863.78,0
148963,-1.914,1.218,-2.548,-1.54,-2.092,-2.687,4.816,-4.06,-2.187,2.846,712.75,0
100948,3.973,3.387,2.541,0.331,4.358,1.51,0.87,-2.661,-4.847,-3.668,1848.46,0
139916,3.153,4.8,1.918,-1.614,2.773,4.568,-2.262,3.545,2.412,1.981,178.08,0
